client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
0997bfe6187eec1970f2ad87382c1c73223453f9689c79af6fd25461e1c43ba688a9bb9abb841b07ad5ebf70c1e14eabe5f9e62df45e8142e57c1f972ddaf0db	common_voice_ur_28976627.mp3	یہی تناسب "یوتھ" کا بھی ہے۔	2	0					ur	
cb1bd4c9f6a2a7d82f9ae5db12c884dfad5efc5fc1765c62349ab3707ec07effd6304b17529dcfbd505d99502074a793bd6bb2af0261baaa70fab80eaf9b9b03	common_voice_ur_32839149.mp3	اب اس کا حال تو یہی ہے کہ دعا کریں	2	0	twenties	male	Asalam-o-Alikum		ur	
eca2caee062aa3326a2bdfab578013b1925ba7b12b6f2efffb98479d3c28e65f4d6de34e77626f5606795b69c8b0b0643e9cb3cc72572a502fe72305d57eae0c	common_voice_ur_32569971.mp3	سپریم کورٹ میں ڈپٹی سپیکر قومی اسمبلی کی رولنگ پر از خود نوٹس کیس کی سماعت جاری ہے	2	0	thirties	male	Pakistani		ur	
f5efdf3fefe6fa4d4f3a2378eff029357f57e104fa51e3d7cf14263f16c7a25074486b0f186031da1a66bba4519fffa5a9760e1ac8a450cec0417fef649cfaea	common_voice_ur_33605969.mp3	اس طرز عمل کا جمہوریت سے کیا واسطہ؟	2	0	teens	male	Pakistan		ur	
5330ac9597c04969ed2ae16d2a5e3629a3632ff22534180a3e883595906eac6048497580d2d33ec94b51797bf12a6b063d7eab1ecb3636238cc41bded7ba8f9c	common_voice_ur_31093792.mp3	آئی ایم ایف کے ساتھ کن شرائط پر بات ہو رہی ہے؟	2	0					ur	
5330ac9597c04969ed2ae16d2a5e3629a3632ff22534180a3e883595906eac6048497580d2d33ec94b51797bf12a6b063d7eab1ecb3636238cc41bded7ba8f9c	common_voice_ur_31093794.mp3	اور پھر سپاہی سے کہا "ارے ہاں۔	2	1					ur	
6ffe21d438a93b0a727528102a0f5e5cd8dbaed3313df9f1cbb4dc09767604c01d8791785b9483a9d56663ff60350f971d866c1a2afc30a95e548c74ae003090	common_voice_ur_32014412.mp3	اب صرف اور صرف انتظار ہے اگلے ماہ	10	0					ur	
6ffe21d438a93b0a727528102a0f5e5cd8dbaed3313df9f1cbb4dc09767604c01d8791785b9483a9d56663ff60350f971d866c1a2afc30a95e548c74ae003090	common_voice_ur_32035198.mp3	تو میں پی ٹی وی میں اینکر تھا۔	12	0					ur	
0c9690e5a2d1bb3ce418954a2b70acae53153708f6c3a21c9e8fe7e3912d97ba805ace5091772c8d4e16dc07fc906ca4956335b87821c244eee8129a15fcb0cf	common_voice_ur_26641307.mp3	تو ان کے خلاف مقدمات کا فیصلہ کیوں نہیں ہو رہا؟	2	0	twenties	female			ur	
0c9690e5a2d1bb3ce418954a2b70acae53153708f6c3a21c9e8fe7e3912d97ba805ace5091772c8d4e16dc07fc906ca4956335b87821c244eee8129a15fcb0cf	common_voice_ur_26641308.mp3	اور بعض مسلمان سمجھتے ہیں	2	0	twenties	female			ur	
0c9690e5a2d1bb3ce418954a2b70acae53153708f6c3a21c9e8fe7e3912d97ba805ace5091772c8d4e16dc07fc906ca4956335b87821c244eee8129a15fcb0cf	common_voice_ur_26641311.mp3	وہ بے وفا ثابت ہوا	2	0	twenties	female			ur	
14a8c6a27f19f7843a1cede7b34f6b9e65f38eefc6bb0dd201964c6cb8a8507551c7a62bbb1805c4012c5a348fb9b82af65d3c8ae19e80e7a958f041be0aa46e	common_voice_ur_31336365.mp3	گفتگو کرنے کی کوشش کر رہا ہوں۔	2	0	twenties	male			ur	
14a8c6a27f19f7843a1cede7b34f6b9e65f38eefc6bb0dd201964c6cb8a8507551c7a62bbb1805c4012c5a348fb9b82af65d3c8ae19e80e7a958f041be0aa46e	common_voice_ur_31336366.mp3	اس روایت میں یہ واضح کر دیا گیا ہے	2	0	twenties	male			ur	
14a8c6a27f19f7843a1cede7b34f6b9e65f38eefc6bb0dd201964c6cb8a8507551c7a62bbb1805c4012c5a348fb9b82af65d3c8ae19e80e7a958f041be0aa46e	common_voice_ur_31336369.mp3	اس سے اب کوئی فرق نہیں پڑتا ہے	2	0	twenties	male			ur	
5bbd9d41253bba8ed3b04c0116ee4e59ea8e13d08d38bae6a1e0391a62d3d4d5fd75b62d99f4ed91010249154ea8ad2770092ed5727d7f2d3c6e95804c18e5ef	common_voice_ur_26573603.mp3	ملکی معیشت کی بدلتی صورتحال اور استحکام کی وجوہات کیا ہیں	2	0					ur	
5bbd9d41253bba8ed3b04c0116ee4e59ea8e13d08d38bae6a1e0391a62d3d4d5fd75b62d99f4ed91010249154ea8ad2770092ed5727d7f2d3c6e95804c18e5ef	common_voice_ur_26573605.mp3	برصغیرکے مسلمانوں میں بھی ایسے لوگ پائے جاتے ہیں۔	2	0					ur	
5bbd9d41253bba8ed3b04c0116ee4e59ea8e13d08d38bae6a1e0391a62d3d4d5fd75b62d99f4ed91010249154ea8ad2770092ed5727d7f2d3c6e95804c18e5ef	common_voice_ur_26573606.mp3	جب جمہوریت کی بات ہوتی ہے۔	2	0					ur	
ae358410799efc61971528c73a0d1b580aba8ece0ceff1b76be663f5de344de7f4981dcb213ee4f90d01bf891e0caf2f4da730bcb3027fb343e13828fa690f1c	common_voice_ur_32014848.mp3	ونڈو پہلا مکمل جی یو آئی اوپریٹنگ سسٹم تھا	2	1					ur	
ae358410799efc61971528c73a0d1b580aba8ece0ceff1b76be663f5de344de7f4981dcb213ee4f90d01bf891e0caf2f4da730bcb3027fb343e13828fa690f1c	common_voice_ur_32015142.mp3	اس نے اچانک اپنے بھائی کو ہجوم میں دیکھ لیا	14	0					ur	
ae358410799efc61971528c73a0d1b580aba8ece0ceff1b76be663f5de344de7f4981dcb213ee4f90d01bf891e0caf2f4da730bcb3027fb343e13828fa690f1c	common_voice_ur_32017616.mp3	ایسے لمحوں میں خود کو سنبھالنے کی ضرورت ہوتی ہے۔	12	1					ur	
d29c5d6f10a01f1f944a7ee9076bc23448abd130b6a9bb5f5c273eeda0d024137342b687f522ffa2e0b7f386ceef5cdfc35d3282bfc4fd18f12d535acfb7ade1	common_voice_ur_30642406.mp3	، اپنے گریبان میں جھانکنے کی بجائے دوسروں کو برا بھلا کہا جائے	3	0					ur	
d29c5d6f10a01f1f944a7ee9076bc23448abd130b6a9bb5f5c273eeda0d024137342b687f522ffa2e0b7f386ceef5cdfc35d3282bfc4fd18f12d535acfb7ade1	common_voice_ur_30642407.mp3	سو یہ سرفراز ہی نہیں،	2	1					ur	
d29c5d6f10a01f1f944a7ee9076bc23448abd130b6a9bb5f5c273eeda0d024137342b687f522ffa2e0b7f386ceef5cdfc35d3282bfc4fd18f12d535acfb7ade1	common_voice_ur_30642408.mp3	مائیکروسافٹ کے مشہور زمانہ آپریٹنگ سسٹم ونڈوز کا نیا ورژن اب کمپنی ویب سائیٹ پر پری آرڈر کے لیے دستیاب ہے	2	1					ur	
0b0c0d743fae8edddd86d7ac9309d923861f2d9ff49e35a743078598e2a5d954f75b35203516654c4413e30eda7bdb69fd1d755f29c6fc692a6f97ed1d2772c1	common_voice_ur_28378667.mp3	اب تو ہم با قاعدہ سینئر سٹیزن ہیں۔	2	0					ur	
0b0c0d743fae8edddd86d7ac9309d923861f2d9ff49e35a743078598e2a5d954f75b35203516654c4413e30eda7bdb69fd1d755f29c6fc692a6f97ed1d2772c1	common_voice_ur_28378668.mp3	فخر کرتے ہیں	2	1					ur	
0b0c0d743fae8edddd86d7ac9309d923861f2d9ff49e35a743078598e2a5d954f75b35203516654c4413e30eda7bdb69fd1d755f29c6fc692a6f97ed1d2772c1	common_voice_ur_28378670.mp3	کم کارڈیشین نے پیپلز چوائس ایوارڈ فائر فائیٹرز کے نام کردیا	2	1					ur	
0b0c0d743fae8edddd86d7ac9309d923861f2d9ff49e35a743078598e2a5d954f75b35203516654c4413e30eda7bdb69fd1d755f29c6fc692a6f97ed1d2772c1	common_voice_ur_28378672.mp3	کیا بی بی سی انگلش یو کے اسپتال میں اس طرح وڈیو بنا سکتا ہے	2	1					ur	
